		"Suspension"				"Biofilm"			
"ruvC_b1863_at"	"ruvC"	805.4	567.2	609.1	503	748.5	650.7	433.5	572.1
"IG_1227_1920337_1923131_fwd_at"	"ryeA"	251.9	142.8	185.6	161.2	180.4	215.9	176.6	274.3
"IG_1646_2651360_2661461_fwd_f_at"	"ryfA"	329.3	208.4	261.5	412.9	335.8	326.8	340.1	388.6
"b1553_at"	"rzpQ"	37.2	68.6	135.1	240.8	71.7	135.5	151.6	402.5
"b1362_at"	"rzpR"	80.8	94.8	216.5	301.8	87.1	157.9	160.1	532.4
"b1500_at"	"safA"	23	34	47.4	11.9	30.9	6.5	58.5	119.9
"sanA_b2144_at"	"sanA"	110.6	56.7	99.1	189	156	154.6	211.3	306
"sapA_b1294_at"	"sapA"	489.8	785.2	1274	965.1	447.8	833.6	1126	850
"sapB_b1293_at"	"sapB"	145.3	313.9	386.5	234.2	194.9	223.9	302.5	370.8
"sapC_b1292_at"	"sapC"	396.8	508	633.6	548.5	443.8	441.3	483.2	522.3
"sapD_b1291_at"	"sapD"	245.8	438.8	473.4	541	315.3	370.7	455.7	546.9
"sapF_b1290_at"	"sapF"	415.1	428.7	442.5	403.3	320.7	386.9	385.3	606.6
"sbcB_b2011_at"	"sbcB"	466.9	436.6	298	334	437.1	700.2	313.5	541.7
"sbcC_b0397_at"	"sbcC"	340	394.4	431.8	653.7	443.4	407	418.5	820.6
"sbcD_b0398_at"	"sbcD"	357.7	330.3	331.7	596.8	435.5	434.5	485.5	558.2
"sbm_b2917_at"	"sbm"	54	121.3	128	273.3	152.5	261.2	348.7	499
"sbmA_b0377_at"	"sbmA"	165.3	208.1	259.9	176.4	178.6	195.1	253.5	266.5
"sbmC_b2009_at"	"sbmC"	2440.2	3266.6	5433	2993.6	2068.9	2917.3	4994.9	2565.7
"sbp_b3917_at"	"sbp"	112.1	347.6	350.4	431.7	149.1	414.5	343.7	457.1
"sdaA_b1814_at"	"sdaA"	700.3	745.3	839.8	913	993.1	653.1	846.2	851.2
"sdaB_b2797_at"	"sdaB"	421.3	202.8	150.1	358.6	314.7	232.6	291.5	367.6
"sdaC_b2796_at"	"sdaC"	1995.5	1056.4	550.9	749.2	1872.9	900.8	485.3	720.9
"sdhA_b0723_at"	"sdhA"	7083.5	4979.1	2967.9	1259	4410.1	4411	2708.5	1164.5
"sdhB_b0724_at"	"sdhB"	2562.4	1555.6	845.3	311.5	1688.5	1335.4	651	438.1
"sdhC_b0721_at"	"sdhC"	3219	1998.5	3267	1118.5	2736.9	1711.3	2714.5	716
"sdhD_b0722_at"	"sdhD"	5861.7	4062.9	5028.2	1321.9	4731.6	3454.8	3769.8	1123.4
"sdiA_b1916_at"	"sdiA"	143.9	202.7	181.8	233.5	190	189.2	196.5	288.2
"secA_b0098_at"	"secA"	753.4	682	613.5	717.6	663	647.7	582.8	589.8
"secB_b3609_at"	"secB"	3210.4	2287.4	1887.7	1183.6	2105.4	1620.8	1424	1036.2
"secD_b0408_at"	"secD"	624.9	721.6	514.1	274.3	610.1	441.1	346.9	333.5
"secE_b3981_at"	"secE"	909.6	1354.9	1469.9	935.2	1098.6	1459	1309.6	880.3
"secF_b0409_at"	"secF"	496.9	553.6	343.3	252.2	557.1	405.4	395.6	274.4
"secG_b3175_at"	"secG"	436.5	399.9	384.9	659.5	666.1	442.9	458	582.2
"prlA_b3300_at"	"secY"	6626.1	14056.9	13249	6033.1	7565.8	11036.4	9611.2	3700.9
"selA_b3591_at"	"selA"	675.8	872.4	636.8	851.3	602.1	731.5	692.3	975.9
"selB_b3590_at"	"selB"	102.1	185.1	154.4	232.6	215.8	230.4	191.3	292.6
"selC_b3658_at"	"selC"	128.9	85.9	90.4	239.7	45	105.9	146.2	103.3
"selD_b1764_at"	"selD"	1193.1	1088.1	728.6	1245.2	850.4	1228.5	776.9	969.8
"IG_459_709340_712209_fwd_at"	"seqA"	310.2	308.7	338.7	530.7	267.4	374.2	424.4	552
"seqA_b0687_f_at"	"seqA"	1087.4	1143.5	933.7	901.8	965.9	778.8	1307.7	752.1
"serA_b2913_at"	"serA"	516.3	393.4	281.4	406	582.6	474.2	399.3	443.9
"IG_2873_4620670_4622463_fwd_at"	"serB"	111.4	103.2	240.9	166.5	133.6	127.9	235.3	207
"serB_b4388_at"	"serB"	556.6	933.6	1330.2	859	433.3	844.3	1031.2	802.7
"serC_b0907_at"	"serC"	456.4	588	374.7	231.1	677.3	489.3	333.2	292.1
"serS_b0893_at"	"serS"	864.5	731.4	459.3	383.7	746.4	713.1	472.6	459.2
"serT_b0971_at"	"serT"	34	4	5.8	5.4	75.4	3.9	5.1	4.4
"serU_b1975_at"	"serU"	1779.3	944.7	959.9	1529.5	1111.6	765.6	561.3	1153
"serV_b2695_at"	"serV"	651.9	620.8	395.7	964.7	640	351	287	318
"serW_b0883_s_at"	"serW"	1554.6	2589.5	2098	3875.5	1315.3	2199.3	3118.1	2996.1
"yabM_b0070_at"	"setA"	130.9	87.1	135.3	193.9	186.5	128.2	194.5	320.3
"yicK_b3659_at"	"setC"	41	45.6	106.7	192.1	42.6	156.9	169.5	353.7
"sfa_b0991_at"	"sfa"	84.5	157.7	150.2	156	112.1	128.9	163.1	216.2
"sfmA_b0530_at"	"sfmA"	80.1	127.4	157.7	215.9	86.1	101.5	246.4	445.3
"sfmC_b0531_at"	"sfmC"	34.3	92.2	92.6	205.5	45.2	89.8	174.7	317.2
"sfmD_b0532_at"	"sfmD"	60.6	26.8	38.6	48.9	40.7	86.9	29.8	113.5
"sfmF_b0534_at"	"sfmF"	13.9	109.6	88.1	223.5	10.2	169.1	163.7	250.2
"sfmH_b0533_at"	"sfmH"	18.1	85.3	44.3	151.9	16.7	123.5	185.1	231.9
"sfsA_b0146_at"	"sfsA"	2635.7	2424.4	4291.5	5205.9	2236	1641.1	4087.2	4206.9
"sgaB_b4194_at"	"sgaB"	403.5	69.8	166	429.4	173.5	246.2	252.2	593.9
"sgaU_b4197_at"	"sgaU"	555.2	354.5	321.9	499.3	601.9	465.7	294.8	422.6
"sgcA_b4302_at"	"sgcA"	563.6	483.3	441.7	547.2	357.7	525.4	806.8	555.5
"IG_2810_4527812_4528097_rev_at"	"sgcB"	339	241.2	210.4	299.4	179.5	401.9	327.6	454.7
"sgcC_b4304_at"	"sgcC"	315.4	359.9	392.5	675.2	279	461	465.6	704.7
"sgcE_b4301_at"	"sgcE"	239.3	182	252.4	228.3	180.1	217.1	323.3	309.8
"sgcQ_b4303_at"	"sgcQ"	169.9	210.4	402.6	438.5	179.7	292.3	320.7	554.2
"sgcR_b4300_at"	"sgcR"	130.1	64	257.3	179.2	143.9	114.2	237.7	255.8
"sgcX_b4305_at"	"sgcX"	549.8	420.4	377.1	408.7	249	422.2	406.6	458.6
"yabN_b0069_at"	"sgrR"	413.4	315	358.7	449.3	291	237.6	248.3	488.6
"IG_46_72116_77620_fwd_at"	"sgrS"	216.8	138.6	117.3	291.5	261.9	244	249.8	347
"shiA_b1981_at"	"shiA"	196.4	291.6	315.5	323.5	221.2	220	246.3	323.5
"sieB_b1353_at"	"sieB"	30.2	21.2	51.4	85.3	37.9	35.8	67.9	143
"b2340_at"	"sixA"	526.7	661.9	1586.3	3816.6	859.4	734.2	1302.6	2880.6
"ttk_b3641_at"	"slmA"	462.2	350.7	395.6	445	598.7	299.6	308.3	443.8
"slp_b3506_at"	"slp"	7236.2	9860	9206.8	13527.8	10469.4	3759.1	8265.7	8387.6
"slpA_b0028_at"	"slpA"	771	728.2	731.7	676.5	801.3	671.7	770.4	584.7
"slt_b4392_at"	"slt"	984.2	496.8	565.8	299.5	745.4	551.6	352.9	401.1
"slyA_b1642_at"	"slyA"	718.5	769.5	487	808.8	720.2	735.2	451.8	580.1
"slyB_b1641_at"	"slyB"	5022.8	4162.4	4229	6857.2	3168.4	3007.6	5011.2	4613.3
"slyD_b3349_at"	"slyD"	1098.9	874.3	984.7	774	940.2	917.5	805.7	620.4
"slyX_b3348_at"	"slyX"	423.4	302.8	372.4	535.9	529.7	269.2	369.4	465.8
"IG_2141_3430383_3430435_rev_at"	"smf"	474.3	901	1196.9	1774.8	495.6	1077	1742.5	1483.8
"smf_1_b3286_at"	"smf"	98.3	143.5	225.6	293	98.8	198	153.6	339.2
"smf_2_b3285_at"	"smf"	2109	1136.1	1264.3	1920.9	1063	1480.3	1194.9	1691.9
"smg_b3284_at"	"smg"	2461.5	2785.1	3049.2	3080.8	2075.3	2839.7	2531	2504.9
"smpA_b2617_at"	"smpA"	611	418.8	367.5	429.3	779.2	224.6	373.2	387.5
"smpB_b2620_at"	"smpB"	714.3	576.3	316.4	373.2	701.8	517.9	368.4	244.2
"b2331_at"	"smrB"	462.1	561.4	382.3	444.1	435.9	425.6	435.3	607.1
"IG_2875_4623433_4623480_fwd_at"	"sms"	597.3	708	701.4	773.9	618.8	598.8	700.9	559
"smtA_b0921_at"	"smtA"	917.8	1088.4	984.3	970.6	1078.2	833.4	818.9	981.1
"sodA_b3908_at"	"sodA"	346.1	1221.5	3726.8	3652.7	382.8	1132	3905.6	2947.5
"sodB_b1656_at"	"sodB"	9402.6	5926.9	678.8	886.9	8213.8	4664.7	707.9	834.7
"IG_1091_1722680_1722759_rev_at"	"sodC"	503.1	390.5	839.9	509.8	569.2	549.6	536.8	806.4
"sodC_b1646_at"	"sodC"	2149.9	3777.4	8317.8	8917.1	2156	3087.7	8534.9	6823.5
"sohA_b3129_at"	"sohA"	802.1	956.9	1110	2816	923.3	692.9	1091.5	2059.5
"sohB_b1272_at"	"sohB"	371.4	580.3	851.2	935.8	445.7	534	357.7	514.2
"solA_b1059_at"	"solA"	241.9	234.2	184.6	239.6	245.9	233	295.3	429.9
"ydeA_b1528_at"	"sotB"	235.2	288.6	420.4	517.5	245.3	352	251.1	525.7
"soxR_b4063_at"	"soxR"	245.2	167.4	503.2	876.7	237.7	345.3	312.7	875.3
"soxS_b4062_at"	"soxS"	202.2	57.6	112.2	681.2	3084.1	246.4	254.9	596.2
"speA_b2938_at"	"speA"	367	746.7	1053.1	486.3	301.2	711.1	784.5	443.2
"speB_b2937_at"	"speB"	948.1	1620.8	2235.1	1306.1	1126.3	1490.6	1894.4	1288.6
"speC_b2965_at"	"speC"	121	241.1	301.5	449.9	180.5	318.8	304.3	444.1
"speD_b0120_at"	"speD"	493.3	688.9	452.7	473.7	600.5	491.1	341.1	491.4
"speE_b0121_at"	"speE"	718.8	799.7	597.1	454.8	605.6	713.8	458.8	527.1
"speF_b0693_at"	"speF"	76.3	225.1	336.2	422.2	161.4	125.8	303.6	411.4
"speG_b1584_at"	"speG"	802.8	304.6	322.2	371.2	757.2	356	386.5	480
"spf_b3864_at"	"spf"	342.6	212.6	119.3	100.8	299.8	185.1	206.8	122.2
"spoT_b3650_at"	"spoT"	1073.7	938	654.5	739.2	1068.8	1071.8	607.1	903.2
"spoU_b3651_at"	"spoU"	556.3	338.5	207.3	341.4	827.1	420.3	299.1	321.3
"sppA_b1766_at"	"sppA"	370.5	445.9	295	404.7	386	477	264.5	573.8
"spr_b2175_at"	"spr"	2174.3	336	287.8	339.5	2475.6	701.5	201.6	416.1
"IG_1918_3087698_3087773_fwd_at"	"sprT"	15.5	69.3	97.4	121.1	38.2	83.6	197.8	129.4
"spy_b1743_at"	"spy"	394.4	798.4	1228.8	1044.8	801.4	444.6	1106.8	1070.3
"srlA_b2702_at"	"srlA"	735	341.3	292.3	536.9	322.8	455	359.1	762.7
"srlB_b2704_at"	"srlB"	439.3	245.4	285.3	392.6	180.5	375.4	282.2	387.8
"srlD_b2705_at"	"srlD"	518.4	238.5	141.9	317	219.3	213.2	224.4	371.4
"srlE_b2703_at"	"srlE"	295.9	27.2	26.3	28.9	12.2	58.8	30.4	43.8
"srlR_b2707_at"	"srlR"	387.8	246.3	164	241.7	175.9	261	186.4	377.6
"srmB_b2576_at"	"srmB"	580.9	375.7	580.3	556	627.8	347.7	611.3	450.1
"ssb_b4059_at"	"ssb"	1243.5	904.9	1350	1581	1057.4	807.8	1021	1075.7
"sseA_b2521_at"	"sseA"	1496.6	1384.9	1115.6	1656	1652.9	1237.9	1009.8	1361.5
"sseB_b2522_at"	"sseB"	359.5	269.2	362.2	515.4	333.6	386.1	230.7	675.1
"sspA_b3229_at"	"sspA"	1543.9	1423.4	1625.6	1456.7	1485.9	1484.3	1160.4	926.3
"sspB_b3228_at"	"sspB"	912.9	968.7	1110.9	955	1017.4	881.6	898.3	629.2
"ssrA_b2621_at"	"ssrA"	23994.2	75990.6	93600.2	106320	27735.6	101049	193616	73695.8
"ycbO_b0936_at"	"ssuA"	65.4	89	109.6	107.3	67	142	176.2	232.6
"ycbE_b0933_at"	"ssuB"	194.6	119.1	313.8	427.8	282.8	247.6	354.6	563.5
"ycbM_b0934_at"	"ssuC"	172.1	289.9	377.1	472.2	219.2	345.6	469.7	541.2
"ycbN_b0935_at"	"ssuD"	20.7	147.6	51.5	342.2	12.2	183.8	123.5	270.3
"ycbP_b0937_at"	"ssuE"	171.7	238.5	308.2	493.9	104	350.3	458.3	530
"b1157_at"	"stfE"	58.6	35.7	57.9	231.4	9.9	92.7	159.2	315.5
"IG_1540_2470083_2470131_rev_s_at"	"stfP"	132.9	193.8	393.4	550.6	165	296.4	556.9	949.1
"ycfK_b1154_f_at"	"stfP"	13	13.4	22.8	80.6	25.6	97.6	161	208.6
"b1547_at"	"stfQ"	62.4	104.8	236.5	290.1	50.8	173.7	248.9	280.8
"b1372_at"	"stfR"	95.1	119.5	189.8	365.8	31.2	192.2	378.8	468.4
"stpA_b2669_at"	"stpA"	222.6	166.5	166.6	384.5	210.8	156.7	287.7	397.7
"sucA_b0726_at"	"sucA"	5651.3	4400.5	2925.5	1302.3	3245.2	3355.8	2713.6	1090.9
"sucB_b0727_at"	"sucB"	8250.9	5823.4	3444	1520.7	4117.7	4926.4	3342.8	1281.1
"sucC_b0728_at"	"sucC"	13829.3	9025.1	6069	3653.6	9177	7092.5	5673.3	2652.9
"sucD_b0729_at"	"sucD"	2173.5	1536.8	913.7	932	1627.3	1204	978.8	495.3
"ydiC_b1684_at"	"sufA"	2189.9	5299.4	6026.1	6880.6	2299.6	4589.5	6023.1	4993.8
"ynhD_b1682_at"	"sufC"	1165.6	2586.8	2610.3	2086.2	1203	1936.5	2059.8	1217.6
"ynhA_b1679_at"	"sufE"	1016.1	834.4	673.5	513.9	1109.4	862.7	567.9	464.2
"sufI_b3017_at"	"sufI"	236.9	313.7	250.7	209.1	285.1	375.2	233	385.9
"b1680_at"	"sufS"	843.8	1637.8	1403.9	890.5	847.1	1584.7	912.8	651.3
"sugE_b4148_at"	"sugE"	373.6	437.4	398.5	447.2	502.5	488.7	425	417
"suhB_b2533_at"	"suhB"	116.5	115.1	118.4	486.7	248.9	216	246.4	367
"sulA_b0958_at"	"sulA"	668.6	749.8	1010.2	959.3	1527.4	785.1	1085.3	749
"sun_b3289_at"	"sun"	448.8	656.1	647	340.6	380.1	838.7	488.7	456.5
"surA_b0053_at"	"surA"	2160.2	2552.4	592.6	302.1	2422.7	1829.3	721.7	510.3
"surE_b2744_at"	"surE"	898.6	556.8	463.3	433.6	668.2	733.3	635.8	493.2
"syd_b2793_at"	"syd"	296.5	266	312.8	304.9	529.9	344.8	357.4	424.3
"yjiW_b4347_at"	"symE"	131.7	187.8	99	321.2	152.5	262.3	240.3	485.3
"SYNPBR322_bla_c_at"	"SYNPBR322_bla_c_at"	409.9	54.4	56.5	73.8	78.8	26.1	39.7	145.8
"SYNPBR322_g456436_w_at"	"SYNPBR322_g456436_w_at"	15.7	11.7	20	19.7	10.5	8.7	156.6	6.6
"SYNPBR322_tet_w_at"	"SYNPBR322_tet_w_at"	89.8	25.6	30.2	55.1	16.5	33.4	73	26
"IG_2283_3699464_3710720_fwd_at"	"tag"	87.1	158.8	195	271.7	100.7	219.7	263.3	256.3
"tag_b3549_at"	"tag"	654.8	482.6	644.9	544.3	539.9	526.8	699.3	481.1
"talA_b2464_at"	"talA"	5401	11886.3	22916	9459.1	5566.9	11694.8	23857	7757.1
"talB_b0008_at"	"talB"	2979.9	2504.4	691.9	1205	2528.7	2180.9	852.9	787
"talC_b3946_at"	"talC"	92.2	108.9	13.5	21.6	58.8	88.6	35.7	115.6
"tap_b1885_at"	"tap"	299.6	252.3	241.6	393.1	370.5	288.9	328.1	426.2
"tar_b1886_at"	"tar"	275.7	446.1	430.5	812.7	264.9	405.6	333.9	763.2
"b2834_at"	"tas"	1179.2	1043.9	1135.6	614.5	902.4	908.4	940.9	755.3
"b3836_at"	"tatA"	1505.6	1666.7	939.8	884.3	1327.5	1197	784.7	909.3
"yigW_1_b3840_at"	"tatD"	333.8	342.5	309.7	322.9	232.1	354.3	337.9	471.5
"yigW_2_b3841_at"	"tatD"	198.6	168.4	151.4	288.8	233.9	226.8	262.7	443.4
"ybeC_b0627_at"	"tatE"	1126.7	845.9	650.5	239.1	1123.9	539.8	594	370.1
"tauA_b0365_at"	"tauA"	69.1	168.9	177.5	294.1	58.2	183.6	339.8	423.2
"tauB_b0366_at"	"tauB"	255.8	300.2	402.3	349.3	228.6	288	394.7	523
"tauC_b0367_at"	"tauC"	284.7	350.5	573.3	509.4	221.7	371	577.2	401.7
"tauD_b0368_at"	"tauD"	131.9	125.9	105.4	187.9	144.4	71.8	92.8	254.4
"tbpA_b0068_at"	"tbpA"	106.8	30.7	41.1	61	110	154.5	34.9	259.3
"tdcA_b3118_at"	"tdcA"	163.9	74.5	121.8	202.4	66.7	174.9	150.5	319.4
"tdcB_b3117_at"	"tdcB"	190.5	79.2	156	228.1	108.3	191.5	208.6	277.2
"tdcC_b3116_at"	"tdcC"	219.2	100.9	158.3	190.5	112.5	110.2	124.6	283.7
"tdcD_b3115_at"	"tdcD"	191	67.8	74.5	115.4	94.4	121.7	107.3	282.9
"tdcE_b3114_at"	"tdcE"	275.2	320.9	268	535.9	175.6	352.4	339.5	489.4
"IG_2031_3256756_3256874_rev_at"	"tdcG"	97	159	197.8	246.1	94.1	148.7	203.6	402.4
"yhaP_b3111_at"	"tdcG"	251.6	419.3	467.4	698	213.9	359.2	404.5	676.2
"yhaQ_b3112_at"	"tdcG"	350.1	186.9	170.8	317.2	285.8	239.3	201.6	358.7
"tdcR_b3119_at"	"tdcR"	20.4	12.6	54.8	103	10.7	57.9	109.7	152.6
"tdh_b3616_at"	"tdh"	1418.2	756.8	435.8	543.9	851.8	882.8	585.9	550.5
"tdk_b1238_at"	"tdk"	184	80.4	107.1	56.7	197.5	111.4	110.4	209.7
"IG_937_1497502_1498596_fwd_at"	"tehA"	13.7	110.8	149.3	141	56.1	97.2	144.4	202.8
"tehA_b1429_at"	"tehA"	230.7	169.9	355	202.3	151.6	151.6	151.1	233.3
"tehB_b1430_at"	"tehB"	473.1	150.3	98.9	78.2	347.1	139	94.5	245.7
"tesA_b0494_at"	"tesA"	520.2	585.3	599.8	652.5	803.8	729.3	573	684.2
"tesB_b0452_at"	"tesB"	236	324.8	435.4	376	339.1	253.2	422.5	646.5
"ybcX_b0561_at"	"tfaD"	3.4	5.2	84.3	184.1	9.3	99.4	198.7	298.2
"ycfA_b1156_at"	"tfaE"	120.3	152	193.8	564.5	153.4	240.9	326.3	774.9
"b1155_at"	"tfaP"	52.6	63.1	120.2	146.4	105.1	86.8	112.8	334.6
"ydfM_b1546_s_at"	"tfaR"	295.9	294.1	414.6	712.8	299	329.1	559.7	879.9
"b2353_at"	"tfaS"	261.2	394.6	477.5	693.8	238.8	367.2	772.1	481.2
"tgt_b0406_at"	"tgt"	1302.1	723.3	594.6	393.8	1061.8	469	447.5	432.3
"thiC_b3994_at"	"thiC"	76.3	134.3	126	90.1	106.5	150	164.3	209.7
"thiD_b2103_at"	"thiD"	12.5	36.7	48.6	314.8	18.9	75.5	64.3	337.6
"thiE_b3993_at"	"thiE"	265.4	230.3	186.6	351.2	157.7	234.8	287.9	287.4
"thiF_b3992_at"	"thiF"	16.9	18.4	25.3	37.9	8.9	22.6	26.1	25.2
"thiG_b3991_at"	"thiG"	303.4	379	296.4	346.2	267.9	381.7	457.1	383.6
"thiH_b3990_at"	"thiH"	121.6	110.8	35.4	24.4	144.5	135.5	135.8	190.3
"yajK_b0423_at"	"thiI"	247.7	636.6	515.4	572	379.8	361.6	431.4	619.5
"thiJ_b0424_at"	"thiJ"	316.8	407.4	380.6	391.9	313.2	297.9	343.4	324.3
"ycfN_b1106_at"	"thiK"	978	1119.4	1028.3	1381.7	986.4	695.7	1022	1168.1
"thiL_b0417_at"	"thiL"	365.5	338.3	276.8	197.3	299.5	196.2	248	239
"thiM_b2104_at"	"thiM"	268.5	368.7	458.6	537.4	219.4	463.2	441.4	469.2
"yabK_b0067_at"	"thiP"	243.9	216.1	294	345	164.8	186	248	445.4
"yabJ_b0066_at"	"thiQ"	398.8	280.8	355.8	702.1	233.7	382	513.7	548.4
"IG_2587_4190289_4190398_rev_at"	"thiS"	198.4	202.2	326.8	404.1	146.3	428.3	538.6	480.5
"thrA_b0002_at"	"thrA"	741.1	825.8	766.8	554.9	808.2	892.1	731	589.7
"thrB_b0003_at"	"thrB"	482.9	416.2	601.3	631.5	362.9	703.9	679.5	712.2
"thrC_b0004_at"	"thrC"	491.1	621.2	626.6	401.4	439.1	663.8	636.3	624.5
"thrL_b0001_at"	"thrL"	1075.9	1126.5	239.1	343.5	1219.5	528.1	584	253.5
"thrS_b1719_at"	"thrS"	2874.8	4214.8	4777.8	3316	3345.5	3251.7	3940.1	1938.4
"thrT_b3979_f_at"	"thrT"	2861.3	2453.5	1596.5	2291.8	3579	2022	2585.1	1844.2
"thrU_b3976_at"	"thrU"	4310.3	3299.9	4393.9	6226.1	8428.3	2639	4830.1	4121.2
"thrV_b3273_f_at"	"thrV"	1014.8	756.8	519.7	594.8	1282.8	863.6	679.5	350
"thrW_b0244_f_at"	"thrW"	787.7	647.4	454.9	813.5	879.1	575.8	600.7	595
"thyA_b2827_at"	"thyA"	739.3	931.5	699	618.6	795.8	885.9	559.1	619.6
"tig_b0436_at"	"tig"	1290	799	613.9	506.3	1187.3	809.6	681.3	526
"mesJ_b0188_at"	"tilS"	805.3	457.6	363.8	708.5	580.7	360	453	619.7
"tktA_b2935_at"	"tktA"	290.9	495.5	242.6	352.5	335.7	507.4	362.7	335.2
"tktB_b2465_at"	"tktB"	1572.2	4241.1	7872	1796.7	2244.2	4000.9	6268.3	2016.3
"tldD_b3244_at"	"tldD"	660.2	856.9	977	687.4	675.4	896.5	570.7	753.7
"ypfI_b2474_at"	"tmcA"	234.9	309.2	425.1	315.8	245.5	374.7	282.8	317.8
"tmk_b1098_at"	"tmk"	409.9	676.7	519.8	456.9	446.5	719.5	485	446.8
"tnaA_b3708_at"	"tnaA"	26160.2	619.4	37.1	81.2	4000	1867.5	191.7	245.6
"tnaB_b3709_at"	"tnaB"	2670.7	82.1	140	178.9	438.5	254.5	166.1	278.1
"tnaL_b3707_at"	"tnaL"	27988	1180.6	249	1024.2	9765.1	3141.6	461.5	868.6
"tolA_b0739_at"	"tolA"	607.7	726.2	809.8	754	698.2	638.3	816.9	777.4
"tolB_b0740_at"	"tolB"	1969	1743.1	2085.6	1475	1779.5	1420	1772.4	1523.3
"tolC_b3035_at"	"tolC"	1465.9	672.3	414.4	296.5	1663.6	545.4	413	330
"tolQ_b0737_at"	"tolQ"	558.8	604.5	508.8	581.3	630	468	487.2	611.3
"tolR_b0738_at"	"tolR"	521.1	425.2	271	269.9	514	408.4	353.7	461.5
"tonB_b1252_at"	"tonB"	365.8	906.5	857.1	980.6	556.6	987.4	1014.7	649.2
"topA_b1274_at"	"topA"	614.3	569.9	589.6	426.3	560.5	571.4	239.3	299.1
"topB_b1763_at"	"topB"	391.6	343.7	61.1	555	348.7	476.6	402.8	600
"torA_b0997_at"	"torA"	515.9	451.9	740.2	1079.9	604.8	300	553.9	1014.2
"torC_b0996_at"	"torC"	137.9	181.6	322.7	371.8	75.2	253.6	305.9	538.4
"torD_b0998_at"	"torD"	184.9	203.9	230.4	395.7	262.1	285.1	308	491.8
"torR_b0995_at"	"torR"	159	109.4	139	169.9	242.8	216.3	229.6	443.5
"torS_b0993_at"	"torS"	189.8	230.4	178.1	421.3	183.4	251.4	229.8	500.8
"torT_b0994_at"	"torT"	55.8	38.1	20.7	21.6	109.1	30.8	20	28.8
"bisZ_b1872_at"	"torZ"	173.6	124.8	166.4	270.4	173.4	242.2	190.7	327.4
"tpiA_b3919_at"	"tpiA"	1861.8	1328	1441.1	1257.6	1248.7	971.7	1201.2	896.8
"ydgR_b1634_at"	"tppB"	289.3	315.8	209.2	283.2	356.4	346.7	280.9	404
"tpr_b1229_f_at"	"tpr"	150	182.3	86.5	407.7	192.8	242.7	370.9	328.7
"tpx_b1324_at"	"tpx"	3617.7	1740.6	884.8	755.1	2228.2	1396.8	945	566
"b1601_at"	"tqsA"	56.9	53.3	100.8	227.1	11.6	91.6	139.6	246.7
"treA_b1197_at"	"treA"	2188.6	830.6	881.4	988.6	1144.9	496.8	787.8	989.3
"treB_b4240_at"	"treB"	1157	536.6	344.2	423.3	553.7	537.8	343.6	491.9
"treC_b4239_at"	"treC"	337.5	114	41	54.9	291.8	139.1	43.4	114.3
"treF_b3519_at"	"treF"	572.7	544.4	914.2	560.2	450	618.4	633.7	473.5
"treR_b4241_at"	"treR"	146	127.3	166.9	330	148.9	187	253.1	395.6
"trg_b1421_at"	"trg"	418.1	507	620.7	1042.5	655.9	610.9	845.4	672.4
"trkA_b3290_at"	"trkA"	342.1	209.8	228.9	423.7	342	304.1	282.6	344.3
"IG_2423_3930503_3930940_fwd_at"	"trkD"	167.7	94.2	94.8	104.6	147.5	158.1	108.9	127.4
"kup_b3747_at"	"trkD"	236.2	119.6	153.5	139.8	234.8	135.4	142.5	208.2
"trkG_b1363_at"	"trkG"	71	97.3	125	135.4	16.9	114.4	96.8	160.4
"IG_2486_4032034_4032196_fwd_at"	"trkH"	1160.9	910.5	915.1	595.5	972.9	850.7	777	596.4
"trkH_b3849_at"	"trkH"	358.6	581.3	678.7	326.7	288.3	622.7	597.2	573.2
"trmA_b3965_at"	"trmA"	381.2	521.3	748.6	660	676.5	446	609.2	608.5
"yggH_b2960_at"	"trmB"	756.8	753.1	1039.6	695.7	1089.1	693.2	1226.7	665.4
"trmD_b2607_at"	"trmD"	4822.6	7409	5396.9	3746.8	4484.3	8153.4	4660.4	2823.6
"b2532_at"	"trmJ"	653.2	1310.4	889.2	912.4	932.4	1713.3	933.6	809.4
"trpA_b1260_at"	"trpA"	794.8	587.8	420.6	629.4	1914.7	421.9	410.8	612.5
"trpB_b1261_at"	"trpB"	1108.2	847.9	852.9	1134.1	3974.8	830.6	647.8	1037.3
"trpC_b1262_at"	"trpC"	980.4	887.3	999.3	1618	3011.6	830.8	696.4	1246.5
"trpD_b1263_at"	"trpD"	794.6	763.6	906.7	1477.3	2437.6	906.1	889.6	1470.6
"trpE_b1264_at"	"trpE"	519.8	327.4	463.9	967.7	2236.6	435.9	497.3	759.7
"yciV_b1266_at"	"trpH"	1427.6	1932.3	2614.3	2690.5	2006.5	1959.9	2556.8	2208.5
"trpL_b1265_at"	"trpL"	202.4	126.6	241.8	1171.3	2882.5	262.4	461.3	1159.2
"trpR_b4393_at"	"trpR"	626.2	622.2	679.3	873	986.1	590.2	691.2	934.9
"trpS_b3384_at"	"trpS"	542.5	344.2	339	443	310.2	422.2	430.8	392.7
"trpT_b3761_at"	"trpT"	405.9	400.5	198.1	300.4	349.1	68.7	15.7	163.5
"truA_b2318_at"	"truA"	1055.7	1487.2	1285.8	1034	1307.9	1235.7	1163	826.3
"truB_b3166_at"	"truB"	590	629.8	709.6	408.7	464.5	664.8	371.8	509.8
